,Student_ID,Subject,Assignment_Name,Due_Date,Status,Grade_Feedback,Guardian_Signature
5047,S00842,History,Picture first look.,2024-12-28, ✔ ,B, 
5048,S11938,English,Any laugh law final.,2025-02-18, ✔ ,A, 
5049,S02951,Science,Occur court.,2025-03-08,✔,A+,Yes
5050,S00232,History,How couple.,2025-01-31,✔,A+,No
5051,S03492,History,Thank letter.,2024-09-18,✔,F, 
5052,S01075,Math,Beyond leader if.,2025-02-04,pending,A,No
5053,S08098,Arabic,Trade north.,2025-02-07,❌,F, 
5054,S04810,Geography,Case process increase.,10/04/2024,❌,B, 
5055,S08598,History,Eight firm seem ground.,2025-01-15,❌,F,No
5056,S02950,Geography,Night skill.,2025-02-05,pending,D,Yes
5057,S00857,Arabic,Again measure movement.,2024-11-17,✔,C,No
5058,S03343,Arabic,Dinner remember.,2025-01-25, ✔ ,B,Yes
5059,S05128,Arabic,Sometimes focus prepare.,2024-12-09, ✔ ,B-, 
5060,S07436,History,Ago coach able.,2024-09-12,pending,A+,No
5061,S04259,Arabic,President former.,2024-10-09,❌,A+,No
5062,S01015,Science,Look move single.,2024-12-12,✔,C-,Yes
5063,S08067,Arabic,Which example.,01/04/2025,pending,A+,Yes
5064,S01757,Science,Picture strategy wind beat.,2025-02-08,✔,D,No
5065,S01293,Geography,Heavy.,2024-10-17,✔,A,Yes
5066,S07480,Math,Set shake.,2024-10-26,✔,C,Yes
5067,S03224,Science,Perhaps ten.,2025-01-29,✔,D, 
5068,S06729,Math,Already can program.,2025-01-03, ✔ ,B,No
5069,S02601,Arabic,Able position state.,2024-11-10, ✔ ,B,Yes
5070,S03184,Geography,Clear job.,11/25/2024,✔,C-,No
5071,S01631,Arabic,Interest strong.,11/23/2024,✔,C-,Yes
5072,S08653,Geography,Fear order will whose.,2025-02-07,❌,C-,No
5073,S01765,Arabic,Soldier sort.,2024-10-16, ✔ ,B-, 
5074,S01294,Science,Month approach.,2025-02-07,pending,A+,No
5075,S12091,Geography,Wonder card population.,2025-02-09, ✔ ,B,No
5076,S10995,Math,Citizen.,2024-12-23,❌,C,Yes
5077,S11599,English,Sense finish.,02/20/2025, ✔ ,F, 
5078,S02640,Geography,Other front.,2024-12-14,pending,C, 
5079,S08641,Science,Than road hair.,2024-12-16,✔,A, 
5080,S10424,Geography,Feel could.,02/24/2025,pending,A+, 
5081,S08163,English,Former party.,2024-09-08,✔,C-, 
5082,S07731,Math,Next to.,12/04/2024,pending,B-,Yes
5083,S06273,Arabic,Throw page.,2025-01-08,✔,A,Yes
5084,S10659,Geography,Most whole blood fly.,10/08/2024, ✔ ,A+,Yes
5085,S06714,Math,Down cover.,2024-11-02,✔,B-, 
5086,S10958,History,How campaign sign.,2024-10-24,❌,D, 
5087,S11464,Arabic,Reason sure base mind.,2024-12-20,✔,F, 
5088,S05615,Arabic,Best however.,09/18/2024,❌,C-,No
5089,S06255,Geography,Station toward win recently.,12/31/2024, ✔ ,F,No
5090,S05212,Arabic,Industry investment.,2024-09-23,❌,D,No
5091,S04639,Geography,Human clear wind.,2024-12-07,pending,F, 
5092,S05189,History,Road paper per home.,2025-02-16, ✔ ,B-,Yes
5093,S01565,English,Prevent go.,09/18/2024, ✔ ,B-,No
5094,S04793,Math,Attack issue.,10/03/2024,pending,F,Yes
5095,S02866,History,Example site food.,2025-01-27,pending,C-,Yes
5096,S09294,Geography,Republican morning.,2025-02-07, ✔ ,C,Yes
5097,S01165,History,Professor since.,2025-01-14,❌,B,No
5098,S06380,Science,Each view teacher wrong.,2024-10-14,✔,A+,Yes
5099,S02417,Geography,Talk degree kind.,2025-02-06,❌,C,No
5100,S07640,Geography,Significant young.,09/11/2024,❌,C,No
5101,S06168,Science,Fast student determine.,2024-10-08, ✔ ,C-, 
5102,S04418,Math,Include.,2024-10-18, ✔ ,A+,No
5103,S04289,English,Wife evidence.,2024-09-15, ✔ ,B,No
5104,S07407,Math,Several card million.,2024-11-18,pending,F, 
5105,S10520,History,Face avoid our.,2024-12-18,❌,D, 
5106,S10818,Geography,Conference such.,2024-12-24,❌,A,No
5107,S06362,Arabic,Determine relationship evidence.,2024-10-27,pending,F,No
5108,S00650,Math,Wrong third like.,2025-03-04,✔,B, 
5109,S00206,History,Large which.,11/08/2024, ✔ ,B-,Yes
5110,S00025,History,Begin industry feeling.,2025-03-05,✔,B-,Yes
5111,S01259,English,Indicate senior.,2025-01-08, ✔ ,A,No
5112,S00305,Geography,Eat program factor.,2024-12-08,pending,D, 
5113,S03765,Geography,Capital computer.,2025-03-03, ✔ ,F,Yes
5114,S02705,Math,Cut.,2025-03-04,✔,B, 
5115,S10680,History,Garden learn green.,2024-09-12,✔,B,Yes
5116,S07768,Math,Foreign environmental evidence.,2024-11-02,❌,A+,Yes
5117,S08792,English,However each reveal.,2025-02-16,✔,B-,Yes
5118,S08207,History,Foot interest.,09/21/2024,❌,A+,No
5119,S09272,History,Experience organization ready field.,11/01/2024,✔,A, 
5120,S03454,History,Special respond.,2024-12-25,❌,A+,No
5121,S03821,English,Available mouth.,2024-10-14,✔,B-, 
5122,S00843,English,Many through.,2024-11-30,❌,A+,Yes
5123,S03161,History,Receive reduce break.,2025-01-21,✔,F,Yes
5124,S04327,Math,Watch last amount face.,2024-12-31,❌,A+,Yes
5125,S10532,History,Represent control various.,2024-11-22,❌,A+, 
5126,S08525,Geography,Civil without good.,2025-02-23, ✔ ,B,Yes
5127,S10007,Science,Campaign on.,2024-10-07,❌,A, 
5128,S02601,Science,One allow why.,2025-01-05, ✔ ,A,Yes
5129,S05728,Geography,Strong feel show evidence.,2024-12-31,❌,D, 
5130,S04218,Arabic,Animal official.,2024-10-31, ✔ ,C,No
5131,S08957,English,Scientist along office.,2024-12-17,❌,D,Yes
5132,S03407,Math,Research.,2025-01-21,pending,B-, 
5133,S08271,Geography,Common.,2024-10-27,✔,A,Yes
5134,S09571,Science,Impact until might.,2024-10-05,pending,C,Yes
5135,S08570,History,Whatever TV.,2024-11-24,❌,F,No
5136,S02179,History,Billion concern.,11/22/2024,pending,D,No
5137,S07995,Science,Pass factor sign.,11/22/2024,❌,B-,Yes
5138,S05470,Geography,Fund ability former first.,2025-01-18,pending,B,No
5139,S10903,History,Necessary tough picture.,2024-12-10,✔,C,Yes
5140,S00523,Math,Space agreement tough.,2025-03-09, ✔ ,C-,No
5141,S08469,Math,Its line ahead.,2025-01-26, ✔ ,C, 
5142,S06403,History,Lead behavior identify some.,2024-12-09, ✔ ,C, 
5143,S01408,English,One girl.,2024-09-15,✔,A,Yes
5144,S00093,Science,Blood easy shake.,2024-09-09,pending,A,Yes
5145,S06331,History,Alone team customer college.,2024-11-21,pending,B,Yes
5146,S09347,Math,Soon game.,2025-02-20,✔,D, 
5147,S08653,History,Official kind.,2024-10-04, ✔ ,F, 
5148,S09474,Math,Event man affect.,2024-12-01,❌,F,No
5149,S07168,Geography,Entire wide bring.,2024-12-03,pending,A+, 
5150,S09208,History,Politics provide church create.,2024-09-30, ✔ ,D,Yes
5151,S00354,Science,Senior your.,2024-10-18,✔,B,Yes
5152,S03588,Geography,Goal night.,2025-02-14,✔,C,No
5153,S06817,Science,Thought specific.,01/04/2025,✔,B, 
5154,S11543,Geography,Per friend body.,2024-10-21,✔,F, 
5155,S11588,English,Region those.,2024-12-01,❌,D,No
5156,S09168,Science,Leg student.,2024-09-13,✔,F,No
5157,S07931,History,Share avoid.,2025-01-13,pending,A,No
5158,S07400,Arabic,Something citizen hear.,2025-02-15,✔,A+, 
5159,S06805,Math,Year resource unit.,09/10/2024,✔,C-, 
5160,S05941,Arabic,Company raise thus.,2025-02-06,❌,F,Yes
5161,S07771,History,View home.,09/27/2024,✔,A,No
5162,S06536,English,Admit social.,2025-01-20,✔,C-, 
5163,S06500,English,Method prevent conference.,2024-10-14,❌,A,No
5164,S10981,Geography,Feeling education.,2024-11-18, ✔ ,B-, 
5165,S11274,English,Stage phone now.,2025-01-21,❌,F,Yes
5166,S04025,Math,Experience around address.,2025-02-22,✔,A+,No
5167,S00224,English,Cost bill.,2024-11-09,pending,C,No
5168,S10715,History,Say yourself huge.,2024-12-19,❌,F,No
5169,S06568,History,Might father.,2024-10-19,❌,A+,No
5170,S07354,Arabic,Fish Democrat.,2024-11-08,❌,B-,No
5171,S08303,Math,Key now.,2024-11-11,pending,B-,No
5172,S09570,Science,Require sing technology.,2024-12-29, ✔ ,C,No
5173,S05186,Arabic,Summer modern.,2024-09-19,✔,A,Yes
5174,S00938,History,Write five describe.,2024-11-28, ✔ ,D,No
5175,S04475,Geography,Type again theory.,2025-01-22,✔,A+, 
5176,S02092,Geography,Because trade how wife.,2024-11-30,❌,C-,No
5177,S08285,Arabic,Yet often.,2025-01-09,❌,D, 
5178,S11312,Arabic,House could performance.,03/08/2025,pending,F, 
5179,S09010,Math,Both land.,2025-01-24,✔,C-,Yes
5180,S06300,Geography,President even.,2024-12-14,✔,C-,Yes
5181,S11245,Geography,Beat space.,2025-02-18,❌,D,Yes
5182,S08445,English,Boy floor seat stock.,2025-02-02,❌,A, 
5183,S05905,Arabic,Member road.,11/24/2024,✔,C,No
5184,S03571,English,Course public.,2025-01-20,pending,F,No
5185,S02237,English,Stock company great.,2025-02-05,✔,B-,No
5186,S01392,English,Voice many yourself.,2025-01-11,✔,A,Yes
5187,S03114,Arabic,Bit yes.,2024-10-26,❌,A+, 
5188,S11524,Math,Million nation.,2024-12-07,pending,B-,No
5189,S09705,Science,Mean school body.,2024-12-21,✔,B,No
5190,S05457,Math,Letter ball vote.,2024-11-28,❌,A, 
5191,S01102,History,Almost garden term.,2024-09-18, ✔ ,C-, 
5192,S04622,Math,Research relate page.,09/18/2024, ✔ ,C-,No
5193,S08652,Math,From ago night organization.,01/07/2025,✔,B, 
5194,S01545,Science,Enjoy company good right.,02/03/2025,✔,C-, 
5195,S02410,Math,Data born.,2025-02-08,✔,A+, 
5196,S02434,Science,Him behind our.,2024-12-02,❌,C-,No
5197,S10191,Math,Kitchen significant.,11/28/2024,✔,B-, 
5198,S08215,English,Major.,10/29/2024,✔,C-,Yes
5199,S07753,History,Fast.,2025-01-18,❌,B-, 
5200,S05066,Math,Many behavior.,2025-01-23,❌,B-,Yes
5201,S09663,Arabic,According once goal.,12/08/2024,❌,A+,No
5202,S05302,Geography,Particularly difficult one.,2024-10-11,✔,C-, 
5203,S06428,English,Stay shake environmental.,2024-10-04,pending,B-,No
5204,S03861,History,That.,11/02/2024,pending,D, 
5205,S01593,Geography,General training.,2025-02-16,✔,B-, 
5206,S00913,Science,Size suggest result.,2025-02-12,❌,C-,Yes
5207,S11277,Science,Wide floor.,2024-12-20,❌,C, 
5208,S04922,Science,Past year share.,2024-09-13, ✔ ,A+,No
5209,S00887,English,Happen somebody.,2024-11-20,✔,A, 
5210,S01765,Science,Number even.,2024-12-26, ✔ ,B,No
5211,S05438,Science,Inside must visit.,2025-02-01,✔,F,Yes
5212,S11588,Science,Along hundred resource book.,2024-09-08,pending,C,Yes
5213,S07700,History,Point would.,02/19/2025,✔,C-,Yes
5214,S08206,History,Fear same.,12/24/2024,✔,C,No
5215,S08731,English,Clear some eye.,2025-02-06,❌,A+,No
5216,S03324,English,Political pass.,2025-02-06,✔,A,No
5217,S05721,Geography,Finish season possible get.,2024-09-28,✔,B,Yes
5218,S12069,English,Of truth nation.,2025-01-22,✔,B-,No
5219,S05869,Geography,According two.,09/20/2024,pending,C-,Yes
5220,S10558,Arabic,Either service.,2025-02-13,❌,A+, 
5221,S05327,Science,Green necessary.,2024-12-18,✔,F,No
5222,S11983,Geography,None south sit.,2024-10-05, ✔ ,C-,No
5223,S10454,Arabic,Game likely official.,2024-09-09,pending,C-, 
5224,S08638,English,Republican worry candidate.,2025-02-01,✔,D,No
5225,S02366,History,Enter new they.,2024-12-28,❌,C,No
5226,S12052,Science,Table probably.,2025-02-18,pending,A+,No
5227,S09402,History,Station close piece until.,2024-11-25,✔,D,Yes
5228,S05522,Arabic,Help study.,2024-10-24,✔,C-, 
5229,S10124,Science,Also very wide.,11/18/2024,✔,B-,Yes
5230,S07624,History,Campaign.,2024-11-27, ✔ ,A+, 
5231,S03357,English,Second here.,11/12/2024,❌,B,Yes
5232,S11532,Arabic,Everyone former pattern.,2024-11-14,❌,C,No
5233,S00318,English,Together buy why skin.,2024-10-30,pending,C, 
5234,S11568,Geography,Owner economy list.,2024-11-19, ✔ ,C,No
5235,S04007,Science,No case major.,01/16/2025,✔,C-, 
5236,S05462,History,Music leader.,2024-11-22,❌,C, 
5237,S00596,Arabic,Service say authority.,2025-02-25,❌,A, 
5238,S05429,Math,Popular manage.,2024-12-03,✔,C-,No
5239,S04668,Geography,Him yourself result.,2025-02-25,❌,D,No
5240,S01853,Arabic,Alone tend.,2024-09-09,pending,C-,Yes
5241,S01531,English,Though life page.,2024-12-01,pending,C-, 
5242,S08826,Math,Long yourself.,2025-02-08,❌,A+,Yes
5243,S07317,Geography,Child newspaper.,2025-01-18,❌,C, 
5244,S02043,History,Miss.,2024-11-03,❌,B-,No
5245,S00742,Geography,Stage would financial.,2024-12-02,❌,C-, 
5246,S03992,History,Loss pretty free.,2024-10-31,✔,F,Yes
5247,S02277,Science,Night tough.,2024-09-26,✔,C-,No
5248,S00591,Science,Front fast.,2024-11-07,❌,C, 
5249,S01349,Geography,More.,2024-10-19,✔,A, 
5250,S07420,Arabic,Color TV along.,2024-09-25,pending,F,No
5251,S03079,History,Congress.,2025-01-29,❌,A+,Yes
5252,S04343,History,Imagine sister.,02/20/2025,❌,F, 
5253,S07391,Science,Agree interest.,11/10/2024, ✔ ,A+,Yes
5254,S08545,Science,Then arrive stuff.,2024-12-06,✔,F, 
5255,S06048,English,Community simple.,09/20/2024,✔,A, 
5256,S09641,Geography,Throw modern consider.,2025-01-31, ✔ ,C-, 
5257,S07359,Science,Myself size important.,2024-09-15,pending,F,No
5258,S03618,Geography,Weight great.,2024-12-21, ✔ ,D,Yes
5259,S02396,Arabic,Ground today.,2024-12-13,❌,A, 
5260,S00787,Math,Education executive answer.,2024-11-27,❌,A, 
5261,S01017,Math,Although than.,02/02/2025,pending,C-,Yes
5262,S09687,English,Expert full.,02/16/2025,❌,B, 
5263,S04672,English,Could size sure audience.,2024-09-20,❌,A, 
5264,S10171,Geography,Under response project.,01/02/2025,✔,A,Yes
5265,S11041,Math,Speech tonight.,2025-02-05,✔,A+,No
5266,S04601,Math,First one per.,2024-10-07,❌,C,No
5267,S07890,History,Some draw great.,2024-11-07,✔,B,No
5268,S08268,Arabic,Director spring.,2025-02-10, ✔ ,C-,Yes
5269,S04712,History,Reduce seat activity.,11/19/2024,pending,C-,Yes
5270,S09000,Science,Writer coach exactly.,2025-01-27,✔,B-,Yes
5271,S00621,Science,Network news role.,2025-02-15,✔,F, 
5272,S09583,History,Mean short.,2024-11-27,✔,B-,Yes
5273,S06647,English,Five anything open.,2025-03-02, ✔ ,D,No
5274,S00318,Science,Fight have traditional.,2024-12-25,❌,A+,No
5275,S07042,History,To value here.,2024-10-30,❌,B,Yes
5276,S09148,Math,Present between type.,2024-10-31, ✔ ,C-,No
5277,S02294,Geography,Fill.,2024-12-04,❌,C, 
5278,S08064,English,Indicate bit.,11/27/2024,✔,B-, 
5279,S02567,History,Health see political.,2024-12-09,❌,C,Yes
5280,S11161,English,Summer real trip.,2024-11-02, ✔ ,A,Yes
5281,S11468,Science,Prove only control.,2024-11-14,pending,C-, 
5282,S00967,History,Throw mind.,2024-12-12,❌,A, 
5283,S08942,Science,Environmental director.,2024-10-05,pending,B-, 
5284,S06254,History,Its.,2025-01-24,pending,A+,No
5285,S04821,English,Ready recognize build.,2024-11-18,pending,B-,Yes
5286,S04559,Math,Message child natural.,2025-03-08, ✔ ,B-,Yes
5287,S02697,Science,Method good.,2024-12-06, ✔ ,C-,No
5288,S03496,Science,Physical reality police.,11/21/2024,pending,C,No
5289,S02110,Arabic,Least expect foot.,2025-02-03, ✔ ,C-,No
5290,S09714,Geography,In hundred detail.,2025-02-10,❌,F, 
5291,S10804,Math,Happen himself hear.,02/03/2025,❌,A,No
5292,S06951,History,Test management.,2024-11-26,✔,A+, 
5293,S11956,Science,Operation notice.,2024-09-18,❌,C, 
5294,S01551,Arabic,Free rock.,2024-09-21,❌,B-,Yes
5295,S06459,Geography,Finally identify.,2024-11-20, ✔ ,A+,No
5296,S04179,Geography,Sport fill.,2024-09-22,✔,C-,No
5297,S03164,English,Word style five wish.,2025-03-06, ✔ ,A+, 
5298,S09723,English,Spend couple.,2024-12-02,pending,B-, 
5299,S05238,Math,Experience discover by.,2024-10-21,✔,F, 
5300,S05231,English,Night school.,2025-02-14,❌,B, 
5301,S04250,Geography,Specific feeling camera.,2025-02-24,pending,C-,No
5302,S04091,Arabic,Chair reflect bad ability.,2024-11-23,✔,B-,Yes
5303,S08708,Geography,American crime.,2024-09-13,pending,A, 
5304,S10631,English,Even various.,2025-01-12,❌,B,Yes
5305,S07423,History,Chair camera.,2025-02-16,✔,A,Yes
5306,S11126,Science,Whole include total.,2024-09-10,pending,B, 
5307,S04778,Science,Religious structure present.,2024-10-17, ✔ ,D, 
5308,S02731,Math,Stage what.,09/12/2024,✔,A+, 
5309,S05759,English,Feel or future share.,2024-12-28,pending,F,Yes
5310,S10879,English,Cold right leg.,10/02/2024, ✔ ,C-, 
5311,S04555,English,Development question able.,2024-11-10,❌,D,Yes
5312,S11845,Science,Sort him be.,09/23/2024,✔,B,No
5313,S02437,Arabic,Society officer.,10/01/2024,❌,C,No
5314,S11400,English,Skill himself it.,02/01/2025,pending,C-,No
5315,S02819,Arabic,Wait particular green.,10/03/2024,✔,B-, 
5316,S05323,English,Fast.,2024-12-26,✔,B-,Yes
5317,S07590,Math,Produce course industry.,2024-12-17,✔,C-,Yes
5318,S01601,Math,Final education guess.,2025-03-06,✔,C, 
5319,S00735,Geography,Actually something human professor.,2025-02-16,❌,F,No
5320,S00946,English,Model arrive help.,2025-03-06,✔,C,No
5321,S06313,Science,Outside soldier nothing consumer.,2024-10-30,pending,D, 
5322,S09348,History,Continue beat.,2024-09-23,pending,B-, 
5323,S11987,Science,Option policy she.,01/02/2025,✔,B, 
5324,S07851,Science,Wind beat whether.,2024-09-08,✔,A+,No
5325,S04690,History,Reach president myself.,2024-10-13,✔,C-, 
5326,S02410,Science,Involve hear area.,11/10/2024,pending,D, 
5327,S08490,Geography,Federal south.,10/26/2024,❌,A+, 
5328,S05415,Math,Moment in.,2025-01-31,❌,B-, 
5329,S00972,Science,Beautiful message poor.,2025-01-09, ✔ ,F, 
5330,S00532,Science,Force which enough.,2025-01-28,✔,C,No
5331,S02150,Science,Wish.,2024-12-06,❌,A+,Yes
5332,S01576,Math,Tend feeling seem.,2025-02-25,✔,B, 
5333,S01639,Arabic,Fish skill yourself.,2024-10-16,✔,D,Yes
5334,S02977,Geography,Concern protect price.,2024-09-29,✔,F,No
5335,S02843,Arabic,Where between.,2025-02-14,✔,A+,Yes
5336,S00128,History,Rock truth now southern.,2024-09-19, ✔ ,B-, 
5337,S11871,Math,Cold amount his.,09/18/2024,✔,B-,Yes
5338,S06731,Math,Son five he resource.,02/04/2025,❌,C-,Yes
5339,S06972,Arabic,With leader law full.,2024-10-18,✔,F,Yes
5340,S11379,Arabic,Determine toward against.,2024-10-21, ✔ ,A+,Yes
5341,S04172,Arabic,Trial.,2024-12-30,pending,C-,Yes
5342,S08629,History,Ground around produce.,2025-01-12,❌,B,Yes
5343,S02524,Science,Reflect heart ever.,2024-12-13,pending,B-, 
5344,S04688,English,Well daughter worry.,2025-02-16, ✔ ,C,Yes
5345,S02733,Geography,Social with under.,2024-11-08,✔,A,Yes
5346,S01382,Math,Leave believe turn.,2025-01-06,✔,B,Yes
5347,S10719,Science,Style thing.,2024-11-08,✔,C,Yes
5348,S07252,History,Travel agree series.,2024-09-25, ✔ ,C-, 
5349,S02960,Arabic,Right attack lay raise.,2025-01-11,✔,C-,Yes
5350,S04923,English,Want least mention.,2024-10-09,❌,A, 
5351,S10210,Geography,Fact tell blue.,2024-12-07, ✔ ,C,No
5352,S03066,Arabic,Else glass.,09/09/2024,pending,C,Yes
5353,S10451,History,Professional kind property.,2024-10-27,✔,B-,Yes
5354,S03075,Science,Current without girl.,2025-02-19, ✔ ,A,Yes
5355,S10404,Geography,Decide call bring.,2025-01-14, ✔ ,A+,No
5356,S00211,Arabic,Head day decade factor.,2024-11-26,pending,C-, 
5357,S11774,Geography,Environment report lawyer color.,2025-01-10,✔,C-,No
5358,S04455,Arabic,Letter mean charge.,2024-12-16,✔,B-,No
5359,S07876,Geography,Attack interview.,2024-11-01,✔,A,No
5360,S00518,Math,Form me color.,2024-12-30, ✔ ,D,No
5361,S07260,Geography,Other in.,2024-10-03,✔,C,No
5362,S03017,Science,List series four.,2024-10-01,❌,C, 
5363,S07241,Arabic,Court method check.,2024-10-03,❌,C,No
5364,S05516,Arabic,They truth note.,11/22/2024, ✔ ,B-,Yes
5365,S12034,Math,Collection message commercial pass.,2024-11-05,❌,B,No
5366,S11593,Geography,Attorney it.,2025-02-12,❌,C-,No
5367,S04673,Science,Response staff resource.,11/06/2024,✔,A, 
5368,S09942,Math,Article determine.,2024-11-29,✔,B-,No
5369,S04322,Arabic,Result knowledge.,2025-02-03,✔,A+, 
5370,S06113,History,Bad bring.,09/09/2024,❌,B,No
5371,S00177,Math,See people family.,12/20/2024,❌,C,No
5372,S10473,Science,Weight.,2025-01-20,❌,C-,Yes
5373,S08197,History,Theory look federal director.,2024-11-11, ✔ ,F, 
5374,S08595,Geography,Design admit.,2025-02-25,✔,B, 
5375,S04878,Math,Its.,2024-10-26,❌,A, 
5376,S11287,Arabic,Bring read feeling.,2025-01-22,❌,C-,No
5377,S11593,English,Skin camera.,2024-11-06, ✔ ,A,Yes
5378,S02267,Geography,Activity range forget.,2024-12-25, ✔ ,F, 
5379,S06108,Arabic,Sister peace.,2024-09-16,✔,F, 
5380,S03829,Geography,Point.,2025-01-28,✔,C-, 
5381,S11093,Science,Half.,2025-01-09,❌,A+,No
5382,S06991,English,They order.,2024-09-24,✔,D,Yes
5383,S01507,Geography,American entire sell.,2024-11-21,pending,A,No
5384,S08065,Arabic,Certainly make can.,2025-03-04,✔,B,No
5385,S10835,Science,Never.,10/23/2024,pending,F,Yes
5386,S09960,English,Federal body month.,12/05/2024,✔,C-,No
5387,S06208,History,Bar money every plan.,2024-12-15, ✔ ,C, 
5388,S05618,History,Article probably you.,2025-03-05, ✔ ,C,No
5389,S08335,English,Camera through itself.,2024-09-20,✔,B,Yes
5390,S02832,Geography,Without economy music.,2024-12-24,✔,B-,No
5391,S04600,History,Open certainly raise.,2024-10-01,✔,F,No
5392,S02836,Math,Goal receive.,2025-01-11,❌,A+,No
5393,S02138,Arabic,Often animal.,2024-10-15,❌,C,No
5394,S06681,Geography,Religious answer several.,2024-10-06,pending,A+,No
5395,S04760,Science,Record present while.,2025-01-02,pending,D, 
5396,S03348,Geography,Hour fine.,2024-10-09,pending,D,Yes
5397,S04108,Math,Use.,2024-10-25, ✔ ,D, 
5398,S09836,English,Again once weight.,2025-01-22,pending,B, 
5399,S00305,English,Western allow.,2024-12-12, ✔ ,B,No
5400,S01179,Math,Eye.,2024-12-01,❌,B,Yes
5401,S01375,Geography,Board project.,2024-12-22,✔,B,Yes
5402,S03330,Arabic,Explain there.,2025-03-05, ✔ ,C-,No
5403,S04729,Science,Yes between story.,2024-11-12,❌,D,Yes
5404,S03034,Arabic,Area practice.,2024-10-02,pending,D, 
5405,S01234,Arabic,Arrive.,01/02/2025,pending,B-, 
5406,S02580,English,Body choice him.,2024-10-15,❌,A,Yes
5407,S09822,Arabic,Week about.,2024-12-08,✔,A,Yes
5408,S02868,English,Person blood state.,2024-09-09, ✔ ,C,Yes
5409,S12156,Math,Own blue other.,01/10/2025,✔,A,Yes
5410,S08775,English,Big discover.,2024-11-24, ✔ ,D, 
5411,S06378,Math,Space during parent.,2025-01-03,✔,B-,Yes
5412,S11041,History,It pressure.,2024-10-02, ✔ ,A+,Yes
5413,S02138,Geography,Bill together million.,09/17/2024,❌,D,Yes
5414,S07387,History,Technology candidate garden.,03/07/2025,❌,F,Yes
5415,S09249,History,Situation body much.,2025-02-27,✔,C-,No
5416,S12008,Geography,Artist actually.,2025-02-24,pending,A+,Yes
5417,S10924,English,Foreign must.,2024-09-29,✔,A,Yes
5418,S02325,History,Baby class third.,10/08/2024,✔,A,No
5419,S09695,Geography,Produce anything necessary.,2025-01-17,✔,F,No
5420,S01399,History,Paper account clearly.,2025-01-05, ✔ ,C,No
5421,S07285,History,Individual dark.,11/30/2024,✔,A+,No
5422,S09911,Geography,While organization.,2024-10-15,pending,B-,Yes
5423,S00517,English,Customer stage.,2024-09-27, ✔ ,A, 
5424,S11205,History,Onto Mr.,2024-11-04,❌,B-,No
5425,S05026,Arabic,Catch rate offer while.,11/22/2024, ✔ ,C-,No
5426,S10889,Geography,Benefit out few.,2024-10-09,pending,C, 
5427,S04754,Math,Trade.,09/18/2024,✔,C, 
5428,S00495,Arabic,Everybody sport.,2024-10-13,❌,F,No
5429,S02736,Math,Mention listen sort director.,2024-12-28, ✔ ,C-, 
5430,S11092,Math,Factor ask.,2025-01-06,✔,F,No
5431,S02165,Science,Have trouble.,2025-02-19,pending,F,No
5432,S05431,Math,Single phone so.,2024-10-22,✔,D, 
5433,S01901,Geography,Player morning consider be.,2024-11-15,pending,A, 
5434,S00056,Arabic,Consumer ball low.,09/26/2024,✔,F,Yes
5435,S09124,Math,Hotel stage.,11/08/2024, ✔ ,C,No
5436,S09305,English,Recognize soon.,2025-02-04,✔,F,No
5437,S02023,Science,Floor nature pass.,2025-01-01,✔,D, 
5438,S07285,Geography,Certainly say.,2024-12-15,✔,B-, 
5439,S03085,Science,Realize child.,2025-01-09, ✔ ,A,No
5440,S03596,Geography,When.,2025-02-04, ✔ ,A, 
5441,S02461,Geography,Check along while.,2024-11-19,✔,D,Yes
5442,S08672,Arabic,Because order.,2024-11-01, ✔ ,B,No
5443,S08660,Math,Candidate heavy.,10/13/2024, ✔ ,D,Yes
5444,S08654,History,Today from develop.,03/07/2025,❌,C,No
5445,S05138,History,That wish.,11/19/2024,❌,D,Yes
5446,S01418,History,Financial edge start.,2025-03-02,❌,F, 
5447,S10408,English,Consumer.,2025-03-09,❌,B-, 
5448,S04775,Math,Public campaign mission.,2024-10-18,✔,D, 
5449,S05871,Arabic,Would per century.,2024-09-11,❌,D,Yes
5450,S07684,English,Reveal machine will.,2024-11-25,pending,A+,Yes
5451,S10490,Arabic,Suffer sound.,2024-10-01, ✔ ,B-, 
5452,S02646,Arabic,Grow.,2025-01-26,❌,C-, 
5453,S03888,Arabic,Together today question.,2024-10-01,✔,B, 
5454,S05429,Science,Indeed size.,2025-03-02,❌,A+,Yes
5455,S03618,Geography,Manager fine.,2024-10-29,✔,C,Yes
5456,S00164,English,Hear start rich operation.,2025-01-06,❌,A+, 
5457,S10060,English,Statement thing single.,2024-09-19,❌,A+, 
5458,S05448,English,Far ago line.,2025-02-17,✔,D,No
5459,S03701,Arabic,Situation near teach.,2024-10-11,✔,A,No
5460,S07128,Arabic,Meeting itself middle.,10/13/2024,❌,B-,Yes
5461,S02881,Math,Before small.,2025-02-21, ✔ ,C,No
5462,S10580,Science,Computer.,2024-12-06,❌,B-,No
5463,S03045,Arabic,Tough ok news.,2025-01-04,❌,B-,No
5464,S02618,Arabic,Small so myself.,2024-11-28,❌,C,Yes
5465,S07384,Geography,Gas watch training.,2024-10-20,❌,C-,No
5466,S02107,Arabic,Decade actually.,2024-09-21,✔,B-,No
5467,S01374,Geography,Several again another.,2024-10-31,❌,A, 
5468,S09345,Geography,Site film energy.,2025-03-05,✔,A+, 
